"MeanNumOfMatches","Shi-Tomasi","Harris","FAST","BRISK","ORB","AKAZE","SIFT"
"BRISK","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"BRIEF","90","34","247","153","50","121","67"
"ORB","84","35","232","104","57","103","NAN"
"FREAK","64","30","177","123","38","108","56"
"AKAZE","NAN","NAN","NAN","NAN","NAN","129","NAN"
"SIFT","103","45","309","184","85","141","89"
